Topic,Title,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Finding money stories in census data (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2015-06-03,2:00 p.m.,2015-06-03,5:00 p.m.,False,"Evan Wyloge - Free pre-conference workshop on June 3.
Learn how to use money-related census data and combine that with local data sets to generate new investigative angles and report original, high-impact data-driven stories in a free pre-conference workshop by the Donald W. Reynolds National Center for Business Journalism from 2-5 p.m. Wednesday, June 3. The session will provide journalists at all levels with story ideas that they can take home and report.
The workshop will be led by Evan Wyloge, senior reporter at the Arizona Center for Investigative Reporting, an independent, nonprofit media organization dedicated to statewide accountability journalism in Arizona. Wyloge, most recently a new media specialist at Arizona Capitol Times, has worked as a journalist for more than a decade, focused on accountability and watchdog reporting, with an emphasis on data analysis. He has a master's degree in journalism from the Walter Cronkite School of Journalism and Mass Communication and a previous degree in political science. 
Sign up for this free workshop.
 | URL: http://ire.org/events-and-training/event/1574/2081/",Franklin 3&4,False
,IRE Conference Registration (Wednesday),2015-06-03,3:00 p.m.,2015-06-03,6:00 p.m.,False,,Franklin Hall,False
,IRE Sales Table (Thursday),2015-06-04,7:30 a.m.,2015-06-04,6:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.  Sales will be located on the 4th floor of the Philadelphia Marriott Downtown.
",Franklin Hall Foyer,False
,IRE Conference Registration (Thursday),2015-06-04,7:30 a.m.,2015-06-04,6:00 p.m.,False,"Registration will be located on the 4th floor of the Philadelphia Marriott Downtown. 
",Franklin Hall Foyer,False
,INN: Welcome,2015-06-04,8:30 a.m.,2015-06-04,9:00 a.m.,False, -  | URL: http://ire.org/events-and-training/event/1574/2013/,Room 414-415,False
,Welcome and overview of the conference,2015-06-04,8:30 a.m.,2015-06-04,8:50 a.m.,False,"**Presented by IRE staff
If you're new to the IRE Conference, haven't attended for awhile or want to learn more about the new things on the schedule this year, come by this session, where IRE staff will explain how things work, what's changed from past conferences and how to get the most out of the next few days. We'll also give you a brief rundown of some of the resources IRE has to offer.
",Franklin 3&4,False
,Digging into data for stories: A crash course (pre-registration required),2015-06-04,9:00 a.m.,2015-06-04,5:50 p.m.,False,"Jaimi Dowdell, Megan Luther - Even if you've never touched a spreadsheet, you will walk away from this daylong workshop able to use Excel for your next investigation. You'll come away with plenty of story ideas and also learn about publicly available databases that you can download and analyze to produce great local stories.
In this workshop, led by experienced IRE and NICAR trainers, we'll explore how to use Excel, a fairly simple but powerful spreadsheet application, to begin analyzing data for stories. We'll start from the beginning with basic formulas and work our way up to summarizing information using pivot tables and more. How do you think about data analysis as a journalist? How do you find the story within the columns and rows? Depending on the experience level of the group we may discuss advanced functions in Excel including data cleaning and more. 
We'll walk through a number of searchable databases currently available online and show you how you can download information into a spreadsheet so you can start analyzing data as soon as you leave the workshop.
No previous experience is required for this workshop.
Preregistration is required and seating is limited. Computers will be provided for the training.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/1574/1891/",Room 402,False
,Show & Tell (Thursday - #1),2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Brad Stone - **Moderated by Brad Stone, WSB-Atlanta
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2060/",Franklin 8,False
,"Legal, technical, and policy challenges facing journalists: A primer and path forward",2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Hannah Bloch-Wehba, Jennifer Henrichsen, Sara Rafsky - Mass state surveillance and digital security practices have been increasingly in the news since the Snowden revelations began in mid-2013, yet the legal, technical, and policy aspects of these revelations and their implications for journalists striving to protect their communications and their sources remains complex and convoluted.
In this participatory session, legal and tech experts from the Reporters Committee for Freedom of the Press will paint the legal, policy, and technical landscape facing investigative journalists and editors today as they strive to carry out their jobs securely and responsibly. In particular, the session will focus on:
The session will be highly interactive and creatively leverage hypotheticals to engage the audience in a meaningful way. Questions and comments will be encouraged throughout the session and RCFP will adapt the presentation to reflect specific audience concerns. In addition, RCFP will point audience members to legal, tech, and policy resources that journalists and editors can take back to their newsrooms and share with their colleagues.
 | URL: http://ire.org/events-and-training/event/1574/1893/",Franklin 1&2,False
,Merchants of mudslinging,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Michael Beckel, Julie Bykowicz, Robert Faturechi - Here's one prediction about the 2016 election that's guaranteed to be true: There will be attack ads, lots of attack ads. Who is behind these ads, however, is not always clear. Panelists will offer tips on how to investigate any and all groups that pop up and start running political ads. They will also outline how to examine the consultants who are cashing in and making big bucks — regardless of their candidates winning or losing. Put these practices to use while covering any election, from dogcatcher to president.
 | URL: http://ire.org/events-and-training/event/1574/1898/",Salon L,False
