Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Conference registration (Wednesday),2015-03-09,1:00 p.m.,2015-03-09,5:00 p.m.,False,"Registration will be located on lower level 2 of the Denver Marriott City Center.
",Lower level 2,False
,10 great business databases to mine for stories (Sponsored by Donald W. Reynolds National Center for Business Journalism),2015-03-09,2:00 p.m.,2015-03-09,5:00 p.m.,False,"Steve Doig - Data journalist Stephen Doig, the Knight Chair at Arizona State University's Walter Cronkite School of Journalism and Mass Communication, will demonstrate 10 data sources you may never have heard of that can lend rich context to your business and economic stories and spark meaningful investigations in this pre-conference workshop, sponsored by the Donald W. Reynolds National Center for Business Journalism on Wednesday, March 9 from 2-5 p.m. 
From ZIP code-level business patterns to foreign trade imports and exports and hospital data, Doig will walk you through seldom-used databases that hold treasures for reporters. You'll learn what's in the data sets, how to get them, what you can pull from them, what questions to ask of the data and story ideas that could be developed, and you'll leave armed with new knowledge and fresh ideas.
Registration for the workshop will begin at 1:30 p.m. on Wednesday, March 9.
Sign up for this free workshop.
 | URL: http://ire.org/events-and-training/event/2198/2223/",Penrose,False
,Techraking <=16: Bootstrapping the News (Sponsored by Reveal/The Center for Investigative Reporting),2015-03-09,2:00 p.m.,2015-03-09,6:00 p.m.,False,"Michael Corey, Scott Pham, Eric Sagara - Techraking <=16: Bootstrapping the News (Sponsored by Reveal | The Center for Investigative Reporting)
Register now!
Give us four hours and your laptop, and we'll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.
One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran data crunchers and programmers from Reveal/The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we'll introduce crucial programming concepts and tools and -- most importantly -- why we use them.
You'll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.
Additional details including the schedule for the workshop can be found on the conference website.
Register for this workshop.
 | URL: http://ire.org/events-and-training/event/2198/2224/",Denver III&IV,False
,Conference registration (Thursday),2015-03-10,7:30 a.m.,2015-03-10,6:00 p.m.,False,"Registration will be located on lower level 2 of the Denver Marriott City Center.
",Lower level 2,False
,Conference sales (Thursday),2015-03-10,8:00 a.m.,2015-03-10,6:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.
",Colorado A-D,False
,Welcome and overview of the conference,2015-03-10,8:30 a.m.,2015-03-10,8:50 a.m.,False,"Jaimi Dowdell, Mark Horvit, Alex Richards, Megan Luther -  | URL: http://ire.org/events-and-training/event/2198/2394/",Colorado F,False
,"What time, patience & a little OCD can teach you about the interactive news landscape",2015-03-10,9:00 a.m.,2015-03-10,10:00 a.m.,False,"Troy Griggs, Ken Schwencke -  | URL: http://ire.org/events-and-training/event/2198/2366/",Colorado E,False
,Getting started: Intro to CAR and the conference,2015-03-10,9:00 a.m.,2015-03-10,10:00 a.m.,False,"Liz Lucas, Lisa Pickoff-White -  | URL: http://ire.org/events-and-training/event/2198/2393/",Colorado F,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2015-03-10,9:00 a.m.,2015-03-10,10:30 a.m.,False,"Ben Jones - Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
•Connect to Excel files and other data•Create maps and charts•Make them interactive•Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class. Limited seats are available. There may be a few seats available on-site.
Register for this class
 | URL: http://ire.org/events-and-training/event/2198/2240/",Independence,False
python,PyCAR *pre-registered attendees only,2015-03-10,9:00 a.m.,2015-03-10,5:45 p.m.,False,"Heather Billings, Adriana Homolova, Alex Richards, Tom Meagher - This hands-on workshop will teach journalists basic programming concepts using the Python language. The daylong class will introduce language basics and useful libraries in the course of a typical reporting project: scraping data from the Web, inserting it in a database and analyzing the results.
Although the class is geared toward beginners, we'll assume that you're comfortable with databases and SQL and that you've hopefully seen a command line since the days of DOS. Preregistration is required and seating is limited. Laptops will be provided for the training.
This workshop is good for: Attendees who have familiarity with the command line and are comfortable with databases and SQL.
Attendees must be registered for the conference to attend this workshop.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/2198/2218/",Mattie Silks,False
