Topic,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,Finding money stories in census data (Sponsored by the Donald W. Reynolds National Center for Business Journalism),2015-06-03,2:00:00 p.m.,2015-06-03,5:00:00 p.m.,False,Speakers: Evan Wyloge - Free pre-conference workshop on June 3. | URL: http://ire.org/events-and-training/event/1574/2081/,Franklin 3&amp;4,False
,IRE Conference Registration (Wednesday),2015-06-03,3:00:00 p.m.,2015-06-03,6:00:00 p.m.,False,Speakers: TBA | URL: http://ire.org/events-and-training/event/1574/2085/,Franklin Hall,False
,IRE Conference Registration (Thursday),2015-06-04,7:30 a.m.,2015-06-04,6:00:00 p.m.,False,Registration will be located on the 4th floor of the Philadelphia Marriott Downtown.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2086/,Franklin Hall Foyer,False
,IRE Sales Table (Thursday),2015-06-04,7:30 a.m.,2015-06-04,6:00:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission. &nbsp;Sales will be located on the 4th floor of the Philadelphia Marriott Downtown. | URL: http://ire.org/events-and-training/event/1574/2089/",Franklin Hall Foyer,False
,Welcome and overview of the conference,2015-06-04,8:30 a.m.,2015-06-04,8:50 a.m.,False,**Presented by IRE staff | URL: http://ire.org/events-and-training/event/1574/2098/,Franklin 3&amp;4,False
,INN: Welcome,2015-06-04,8:30 a.m.,2015-06-04,9:00:00 a.m.,False,Speakers:  | URL: http://ire.org/events-and-training/event/1574/2013/,Room 414-415,False
,Broadcast: What does the audience want?,2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Graeme Newell - How does your newsroom pick investigation topics? In most newsrooms, this important decision is based solely on the hunch of a reporter. Too often, this strategy leads to poor ratings when we create investigations that newsrooms love, but viewers hate. Viewer researcher Graeme Newell reveals the results of a comprehensive study. You&rsquo;ll learn the topics and storytelling techniques that drive ratings. He&rsquo;ll reveal the hopes, worries and frustrations that affect viewers the most and you&rsquo;ll learn how to drive ratings by putting the viewers&rsquo; priorities at the center of your storytelling process. | URL: http://ire.org/events-and-training/event/1574/1925/",Franklin 9&amp;10,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2015-06-04,9:00:00 a.m.,2015-06-04,10:30 a.m.,False,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video.&nbsp; | URL: http://ire.org/events-and-training/event/1574/2076/",Room 404,False
,Show &amp; Tell (Thursday - #1),2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Brad Stone - **Moderated by Brad Stone, WSB-Atlanta | URL: http://ire.org/events-and-training/event/1574/2060/",Franklin 8,False
,Reporting on the security state in your own community,2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Trevor Aaronson, Mark Hosenball, Kate Martin, Tara McKelvey | URL: http://ire.org/events-and-training/event/1574/1897/",Salon K,False
,Digging into data for stories: A crash course (pre-registration required),2015-06-04,9:00:00 a.m.,2015-06-04,5:50 p.m.,False,"Speakers: Jaimi Dowdell, Megan Luther - Even if you&rsquo;ve never touched a spreadsheet, you will walk away from this daylong workshop able to use Excel for your next investigation. You&rsquo;ll come away with plenty of story ideas and also learn about publicly available databases that you can download and analyze to produce great local stories. | URL: http://ire.org/events-and-training/event/1574/1891/",Room 402,False
,The year in CAR,2015-06-04,9:00:00 a.m.,2015-06-04,10:00:00 a.m.,False,"Speakers: Megan Luther, Alex Richards - What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time. | URL: http://ire.org/events-and-training/event/1574/1894/",Franklin 3&amp;4,False
