Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,IRE Conference Registration (Wednesday),2017-06-21,2:00 p.m.,2017-06-21,6:00 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3370/
,(More than) 10 data sources you may never have heard of (Hosted by Donald W. Reynolds National Center for Business Journalism),2017-06-21,2:00 p.m.,2017-06-21,5:00 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3193/
,IRE Conference Registration (Thursday),2017-06-22,7:30 a.m.,2017-06-22,6:00 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3371/
,Navigating Linkedin (Sponsored by Knight Foundation),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3312/
,Best of broadcast  (Sponsored by National Association of Broadcasters),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3296/
,Exhibitor/Recruiter Hours (Thursday),2017-06-22,9:00 a.m.,2017-06-22,5:00 p.m.,TBA,,Foyer - 1st floor meeting space,http://ire.org/events-and-training/event/2703/3374/
,Show & Tell *Thursday #1,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3377/
maps,Map camp: QGIS *pre-registration required,2017-06-22,9:00 a.m.,2017-06-22,6:00 p.m.,"Jennifer LaFleur, Charles Minshew","Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp.
Our trainers will teach you how to use QGIS, a powerful, free and open-source GIS software that runs on a Mac or a PC. QGIS can be used in your news organization's workflow to create maps for print, online and broadcast. You will learn how to display data geographically; import and query data; and geocode addresses to merge databases with maps. 
In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.
Preregistration is required and seating is limited. Laptops will be provided for the training.
Workshop prerequisites: Participants should have basic knowledge in using relational database programs such as Microsoft Access, MySQL or SQLite.
NOTE: Registration is required for this session. Click here to sign up.
",Pinnacle Peak 3,http://ire.org/events-and-training/event/2703/3186/
,Prisons and jails (Sponsored by Criminal Justice Journalists),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3274/
,Investigating the tech industry,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3198/
,Following the money (Sponsored by Bloomberg),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3197/
,Getting information from crisis communicators,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3196/
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2017-06-22,9:00 a.m.,2017-06-22,10:30 a.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3334/
spreadsheets,Excel 1: Getting started with spreadsheets,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3328/
,Welcome first-timers: Get a button and conference tips,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3194/
,Digging deeper during breaking news,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3202/
,Digging into nonprofits,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3200/
,Year in investigations,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3199/
spreadsheets,Excel 2: Functions and pivot tables,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3329/
,Broadcast: State of the state  (Sponsored by National Association of Broadcasters),2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3297/
,Mastering the investigative interview,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3201/
,Show & Tell *Thursday #2,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3378/
,Not-for-TV video: Shooting tips for non-broadcast reporters (Sponsored by Knight Foundation),2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3313/
,Examining hospitals: From finances to lawsuits,2017-06-22,10:15 a.m.,2017-06-22,11:15 a.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3203/
tableau,Show where the story is happening with maps in Tableau Public (Hosted by Tableau),2017-06-22,11:00 a.m.,2017-06-22,12:30 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3335/
,Winners announcement: Knight prototype call for ideas to improve the flow of accurate information (Hosted by Knight Foundation),2017-06-22,11:30 a.m.,2017-06-22,1:00 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3205/
,Broadcast: Deep dive I  (Sponsored by National Association of Broadcasters),2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3298/
,Research Oasis (Sponsored by Knight Foundation),2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3316/
,The Foreign Factor: Tracking foreign lobbying in Washington and the states,2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3209/
,âI shot a man in Reno just to watch him dieâ,2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3208/
,"Leaks, leakers and the law",2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3207/
,Battling FERPA and cracking campus secrecy,2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3206/
,Management: Why won't you just do what I want? Fixing the reporter-editor relationship,2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3204/
spreadsheets,Excel 3: Advanced functions,2017-06-22,11:30 a.m.,2017-06-22,12:30 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3330/
,Security brownbag: How to protect your staff without smothering,2017-06-22,12:45 p.m.,2017-06-22,2:00 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3210/
tableau,Finding and telling data stories with Tableau Public (Hosted by Tableau),2017-06-22,1:30 p.m.,2017-06-22,3:00 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3336/
,IRE Board of Directors meeting,2017-06-22,2:00 p.m.,2017-06-22,5:00 p.m.,TBA,"The IRE Board of Directors will meet on Thursday from 2-5 p.m. in President's Boardroom, as part of the annual conference. The meeting is open to all IRE members.
",President's Boardroom,http://ire.org/events-and-training/event/2703/3362/
,Management: How to create a watchdog culture that permeates every desk in your newsroom,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3214/
web development,Scraping without programming,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3331/
,Data on deadline,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3211/
,Best fact-checking practices,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3212/
,"Investigating hate (Sponsored by Mother Jones, New America Media and ProPublica)",2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3213/
,Show & Tell *Thursday #3,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3379/
,Broadcast: 60 stories in 60 minutes  (Sponsored by National Association of Broadcasters),2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3299/
,Watchdogging the court system,2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3215/
,Watchdogging nonprofits with Charity Navigator (Sponsored by Knight Foundation),2017-06-22,2:30 p.m.,2017-06-22,3:30 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3315/
tableau,Overview of data journalism curriculum for universities (Hosted by Tableau),2017-06-22,3:30 p.m.,2017-06-22,5:00 p.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3337/
spreadsheets,Getting data into Excel,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3332/
,Open season on consumers,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3219/
,Organizing the investigation,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3220/
,Broadcast: Investigating in breaking news  (Sponsored by National Association of Broadcasters),2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3300/
spreadsheets,The art of access: Psychological strategies for acquiring public records and data,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3218/
,Revenge: When journalists become the target,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3216/
,Don't believe the hype: How to report on a scientific study,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3217/
,Police: The challenge of immigration enforcement and policing reform (Sponsored by Criminal Justice Journalists),2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3221/
,Show & Tell *Thursday #4,2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3380/
,Setting PDF data free with Cometdocs (Sponsored by Knight Foundation),2017-06-22,3:45 p.m.,2017-06-22,4:45 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3314/
"statistics, spreadsheets",Torturing Excel into doing statistics,2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3333/
,Facebook Live (Live!) (Sponsored by Knight Foundation),2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3317/
,Broadcast: Editing and beyond  (Sponsored by National Association of Broadcasters),2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3301/
,The Storytellers Project presents: The life and legacy of Don Bolles (Sponsored by Gannett/USA TODAY Network),2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3222/
,Show & Tell *Thursday #5,2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3381/
,Prepping for the next election,2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3225/
,Separating fact from fiction in covering health care,2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Canyon 7,http://ire.org/events-and-training/event/2703/3224/
,Writing the investigative book,2017-06-22,5:00 p.m.,2017-06-22,6:00 p.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3223/
,"Welcome reception (Sponsored by the Walter Cronkite School of Journalism and Mass Communication, Arizona State University)",2017-06-22,6:00 p.m.,2017-06-22,7:00 p.m.,TBA,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m in Grand Saguaro North & South. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water.
",Grand Saguaro North & South,http://ire.org/events-and-training/event/2703/3363/
,IRE Conference Registration (Friday),2017-06-23,7:30 a.m.,2017-06-23,6:15 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3372/
,Watchdogging K-12 education,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 1-3,http://ire.org/events-and-training/event/2703/3226/
,Broadcast: Consumer investigations  (Sponsored by National Association of Broadcasters),2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Sonoran G,http://ire.org/events-and-training/event/2703/3302/
,Tools for shining light on dark money (Sponsored by Knight Foundation),2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 11-13,http://ire.org/events-and-training/event/2703/3318/
databases,SQL 1: Intro,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3347/
,Let's make some internet: Web development for beginners,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Pinnacle Peak 1,http://ire.org/events-and-training/event/2703/3338/
,Digging into data: A crash course in storytelling *pre-registration required,2017-06-23,9:00 a.m.,2017-06-23,6:15 p.m.,TBA,"**This workshop is full, to add your name to the waiting list here.
Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets with IRE's proven techniques. IRE's experienced trainers will walk you through sorting, calculating and interviewing data. You'll come away with a solid base for using data analysis in your own newsroom. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.  
Preregistration is required and seating is limited. Laptops will be provided for the training.â¨
Workshop prerequisites: There are no prerequisites for this workshop and beginners are welcome. This workshop is good for those wanting to get started analyzing data for stories.
NOTE: Registration is required for this session. Click here to sign up.
",Pinnacle Peak 3,http://ire.org/events-and-training/event/2703/3185/
,Managing student investigations,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 9-10,http://ire.org/events-and-training/event/2703/3231/
,Arizona Project Legacy: Protecting journalists from new threats,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 8,http://ire.org/events-and-training/event/2703/3230/
,Exhibitor/Recruiter Hours (Friday),2017-06-23,9:00 a.m.,2017-06-23,5:00 p.m.,TBA,,Foyer - 1st floor meeting space,http://ire.org/events-and-training/event/2703/3375/
,Management: How to edit the data story when you don't do data,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3227/
,Show & Tell *Friday #1,2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3382/
,Bailing out: Pretrial release reform  (Sponsored by Criminal Justice Journalists),2017-06-23,9:00 a.m.,2017-06-23,10:00 a.m.,TBA,,Grand Canyon 6,http://ire.org/events-and-training/event/2703/3228/
