Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Techraking <=19: Bootstrapping the News (Sponsored by Reveal from The Center for Investigative Reporting),2017-03-01,1:00 p.m.,2017-03-01,5:00 p.m.,TBA,"Register now!
Give us four hours and your laptop, and we'll send you into NICAR with a fully-functioning data-crunching machine and the knowledge to use it.
One of the biggest hurdles to learning programming is the often bewildering process of setting up your computer. Veteran programmers and data crunchers from Reveal from The Center for Investigative Reporting will give you a virtual playground on your personal laptop that will allow you to explore all the tools you'll gather throughout the conference. In this four-hour workshop, we'll introduce crucial programming concepts and tools and -- most importantly -- why we use them.
You'll walk into conference sessions with a laptop loaded with many of the tools presenters will be talking about, and a leg up as you continue developing your skills once you're back home.
Additional details including the schedule for the workshop can be found on the conference website.
Register for this workshop.
",River Terrace 1,http://ire.org/events-and-training/event/2702/2897/
,Conference registration (Wednesday),2017-03-01,1:00 p.m.,2017-03-01,5:00 p.m.,TBA,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/2999/
,Gentrification clues: Datasets that predict urban upheaval (Sponsored by Donald W. Reynolds National Center for Business Journalism),2017-03-01,2:00 p.m.,2017-03-01,5:00 p.m.,Evan Wyloge,"Free pre-conference workshop on Wednesday, March 1 from 2-5 p.m.
Evan Wyloge, senior reporter at AZCIR (the Arizona Center for Investigative Reporting) has spent a decade focusing on accountability and watchdog reporting, with an emphasis on data analysis. In this workshop, he will identify disparate datasets that allow reporters to analyze the evolving economic landscape of metro areas.
Population density, incomes and property values, the overall volume of economic activity, and racial and ethnic diversity are all clues that can help reporters understand the dynamic shift toward a more urbanized population. Wyloge will show you how to navigate surprising databases and mine the key points to develop insightful stories on the future of your community.
This pre-conference workshop is produced by the Donald W. Reynolds National Center for Business Journalism.
",River Terrace 2,http://ire.org/events-and-training/event/2702/2898/
,Conference sales (Wednesday),2017-03-01,3:00 p.m.,2017-03-01,5:00 p.m.,TBA,,3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3003/
,Conference registration (Thursday),2017-03-02,7:30 a.m.,2017-03-02,6:00 p.m.,TBA,"Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront. 
",3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3000/
,Conference sales (Thursday),2017-03-02,8:00 a.m.,2017-03-02,6:00 p.m.,TBA,,3rd floor - Skybridge,http://ire.org/events-and-training/event/2702/3004/
,Welcome and overview of the conference,2017-03-02,8:30 a.m.,2017-03-02,8:50 a.m.,TBA,"**Speakers are IRE/NICAR Staff
",Conference Center B,http://ire.org/events-and-training/event/2702/2896/
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau),2017-03-02,9:00 a.m.,2017-03-02,10:30 a.m.,Ben Jones,"Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to: 
*Connect to Excel files and other data 
*Create maps and charts 
*Make them interactive 
*Publish them on your site
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided. This is a free training, however you must be registered for the CAR Conference to attend this class.  Limited seats are available. There may be a few seats available on-site.
Register for this class.
",City Terrace 6,http://ire.org/events-and-training/event/2702/3015/
"python, web development","Programming for humans, in Python (intermediate/advanced) *pre-registered attendees only",2017-03-02,9:00 a.m.,2017-03-02,5:45 p.m.,"Jeremy Bowers, Serdar Tumgoren","You've written a few Python scripts that get the job done, but the initial euphoria has worn off. Your code is hard to understand. Bugs are cropping up. Worse, you can't always explain your process or results to an editor — or yourself. There must be a better way, but the path forward is not clear. If you've had that itchy feeling, this full-day, hands-on workshop is for you. After mastering the basics of writing code, you need to understand how to design programs. To that end, this class will explore Python language features that will help you write readable, reliable and reusable code.
Preregistration is required and seating is limited. 
**Attendees must bring a laptop and charger to the training.
Workshop prerequisites: Experience with basic Python language features like variables, data types, conditionals and functions are required.
NOTE: Registration is required for this session. Click here to sign up.
",City Terrace 4,http://ire.org/events-and-training/event/2702/2880/
,Year in CAR,2017-03-02,9:00 a.m.,2017-03-02,10:00 a.m.,TBA,"**Speakers are IRE/NICAR Staff
",River Terrace 3,http://ire.org/events-and-training/event/2702/2899/
