Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,Detecting corporate fraud - Tips from a crook and a sleuth (Sponsored by Donald W. Reynolds National Center for Business Journalism),2014-06-25,1:30 p.m.,2014-06-25,5:00 p.m.,"Roddy Boyd, Sam Antar",,Salon 14-15,http://ire.org/events-and-training/event/975/1411/
,IRE Conference Registration (Wednesday),2014-06-25,3:00 p.m.,2014-06-25,6:00 p.m.,TBA,"Registration will be located on lower B2 level of the San Francisco Marriott Marquis.
",Lower B2 Level,http://ire.org/events-and-training/event/975/1455/
,IRE Conference Registration (Thursday),2014-06-26,7:30 a.m.,2014-06-26,6:00 p.m.,TBA,"Registration will be located on lower B2 level of the San Francisco Marriott Marquis.
",Lower B2 Level,http://ire.org/events-and-training/event/975/1460/
,IRE Sales Table (Thursday),2014-06-26,7:30 a.m.,2014-06-26,6:00 p.m.,TBA,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.
",Lower B2 Level,http://ire.org/events-and-training/event/975/1456/
,"INN: Trends in news revenue - The view From 30,000 feet (with a detour)",2014-06-26,8:30 a.m.,2014-06-26,9:00 a.m.,Jesse Holcomb,"This session provides a brief overview of recent trends in news revenue, with a special focus on the non-profit sector. Drawing on Pew Research data, the session will touch on big picture shifts in advertising and audience revenue along with philanthropy, individual giving, events and other streams.
",Golden Gate B,http://ire.org/events-and-training/event/975/1495/
,Welcome and overview of the conference,2014-06-26,8:30 a.m.,2014-06-26,9:00 a.m.,TBA,"If you're new to the IRE Conference, haven't attended for awhile or want to learn more about the new things on the schedule this year, come by this session, where IRE staff will explain how things work, what's changed from past conferences and how to get the most out of the next few days.
",Salon 12-13,http://ire.org/events-and-training/event/975/1490/
,Lethal lessons: Overcoming secrecy laws and other obstacles to covering the death penalty,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Ziva Branstetter, Brandi Grissom, Richard Pienciak","*Moderated by Richard Pienciak, The Associated Press
Reporters have been facing unprecedented access challenges surrounding death penalty executions, especially regarding key information about the lethal drugs used. How best to prepare to cover an execution in case the administration of the drug cocktail – or any other method - is botched? Panelists will talk about the history of relevant cases, past and recent; legal fights to obtain transparency – including the identities of executioners and public witnesses; how to develop sources to overcome secrecy and legal barriers; and how to dig deep on the sources of drugs used and the chemical makeup of the deadly compounds.
",Salon 14-15,http://ire.org/events-and-training/event/975/1391/
,Open records: Strategies for successful negotiations,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Jeff Donn, Ron Nixon, Andrew Siegel, Thomas Burke","*Moderated by Andrew Siegel, CBS
Digging out documents is a key part of life as an investigative reporter. But it seems that governments at all levels are clamping down on access to records. Learn how to successfully navigate the ins and outs of state and federal FOIA laws and win access fights.
",Salon 1-3,http://ire.org/events-and-training/event/975/1482/
,When to scrape: Tools and techniques (Sponsored by Knight Foundation),2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Steven Rich, Aaron Williams","Scraping data: Freeing the data you find on the web and making it work for you, your way. We'll talk about when you should scrape data from the web, different ways to do it and how scraping can help you repackage, analyze and offer up data automatically and in compelling ways.
",Nob Hill AB,http://ire.org/events-and-training/event/975/1422/
,Mastering the investigative interview,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,Julian Sher,"We've all done it - blown a key interview. When the subjects of our investigations are pros at spin and subterfuge, we need more than good research. Julian Sher, the senior producer of CBC TV's the fifth estate and author of six books whose articles have appeared in the New York Times and Canadian newspapers, will teach you how to change the very way you see interviews, how to structure them in a radical new way and some key tools and techniques to succeed.
",Salon 4-6,http://ire.org/events-and-training/event/975/1321/
,Data-driven ethics: Tricky questions buried in the numbers,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Jennifer LaFleur, Ricardo Sandoval-Palos, Sally Lehrman, Chrys Wu, Eva Paterson","*Moderated by Sally Lehrman, Markkula Center for Applied Ethics
Are the data too easy to interpret? Confirm commonly held stereotypes? Put sources at risk? Watch out! Data journalists must consider some thorny issues in the everlasting, far-reaching, and deep-diving environment of digital media. Esteemed civil rights lawyer Eva Paterson reveals the bias often built into data. Three expert practitioners share compelling ethics considerations that have troubled them. You join the panel in proposing some solutions.
",Salon 12-13,http://ire.org/events-and-training/event/975/1374/
,Investigations that focus on forgotten victims,2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Matthew Mosk, AC Thompson, Jenifer McKim, Azmat Khan","*Moderated by Jenifer McKim, New England Center for Investigative Reporting
Senior citizens neglected to death, coal miners struck with black lung and blocked from help, abused children whose cries go unheard, and forgotten creditors in a city's high profile bankruptcy mess. These are stories that often go overlooked until a reporter focuses the public lens on its victims. In this panel, reporters will talk about what makes a good story, provide tips on finding unheard victims, and discuss challenges about writing three-dimensional stories about situations that aren't always clear cut.
",Salon 10-11,http://ire.org/events-and-training/event/975/1355/
,Mapping sea surges: A model for hyperlocal reporting on climate impact (Sponsored by New America Media),2014-06-26,9:00 a.m.,2014-06-26,10:00 a.m.,"Sandy Close, Laura Flynn, Barbara Grady, Jessie Liang, Ngoc Nguyen","*Moderated by Sandy Close, New America Media
With support from several funders, New America Media teamed up with ethnic and community media reporters, Climate Central, IRE and the Stamen Group to document with data, maps and story telling the impact of sea rise on Bay Area low-income communities of color.  It's a model that can be replicated.
",Salon 7,http://ire.org/events-and-training/event/975/1505/
,Rapid data publishing with Caspio (Hosted by Caspio),2014-06-26,9:00 a.m.,2014-06-26,10:50 a.m.,Edward Garcia,"For those who are new to Caspio, this session provides a hands-on introduction to the Caspio framework for rapid database publishing. Learn how to import a public data set (Census, crime, health inspections, etc.) and quickly build an interactive searchable web app for your website. Topics covered: Importing data; Creating a searchable database; Report interfaces and layouts; Embedded deployment on your website.
No previous Caspio experience is necessary. Laptops will be provided. Seating is limited, so pre-registration is highly encouraged for these sessions. 
Register now to reserve your spot.
",Nob Hill D,http://ire.org/events-and-training/event/975/1478/
