Topic,Subject,Start Date,Start Time,End Date,End Time,Speaker(s),Description,Location,URL
,(More than) 10 data sources you may never have heard of (Hosted by Donald W. Reynolds National Center for Business Journalism),2017-06-21,2:00 p.m.,2017-06-21,5:00 p.m.,Steve Doig,"Data journalist Stephen Doig, professor at Arizona State University's Walter Cronkite School of Journalism and Mass Communication, who served as the longtime Knight Chair in Journalism at Cronkite, presents “(More Than) 10 Data Sources You May Never Have Heard Of.” This pre-conference workshop, sponsored by the Donald W. Reynolds National Center for Business Journalism, will be held on Wednesday, June 21 from 2-5 p.m.
Rich business and financial databases are everywhere, and smart reporters on almost any beat will find these useful. From ZIP code-level business patterns and foreign trade imports to property tax rolls and professional licenses, Doig will walk you through seldom-used databases that hold treasures for reporters. You'll learn what's in the data sets, how to get them, what you can pull from them, what questions to ask of the data and story ideas that could be developed. You'll leave armed with new knowledge and fresh ideas. Doig's original “10 Data Sources” presentation at IRE 2016 drew a capacity crowd.
Reserve your space in this workshop here.
",Grand Sonoran F,http://ire.org/events-and-training/event/2703/3193/
,IRE Conference Sales (Wednesday),2017-06-21,2:00 p.m.,2017-06-21,6:00 p.m.,TBA,"Stop by the IRE Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts.
",Grand Sonoran F Foyer,http://ire.org/events-and-training/event/2703/3425/
,IRE Conference Registration (Wednesday),2017-06-21,2:00 p.m.,2017-06-21,6:00 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3370/
,IRE Conference Sales (Thursday),2017-06-22,7:30 a.m.,2017-06-22,6:00 p.m.,TBA,"Stop by the IRE Conference sales table and browse our merchandise, including the IRE bookstore's most popular titles and shirts.
",Grand Sonoran F Foyer,http://ire.org/events-and-training/event/2703/3426/
,IRE Conference Registration (Thursday),2017-06-22,7:30 a.m.,2017-06-22,6:00 p.m.,TBA,,East registration desk,http://ire.org/events-and-training/event/2703/3371/
,Following the money (Sponsored by Bloomberg),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,"Alexandra Berzon, Ashley Balcerzak, David Heath","Often, the key to cracking open a story is to track down the money behind the decisions. This panel will look at how to map out business empires, teach you money-in-politics tricks and reveal how industry can use its influence to direct policy and even public opinion.
",Grand Canyon 7,http://ire.org/events-and-training/event/2703/3197/
spreadsheets,Excel 1: Getting started with spreadsheets,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,Aimee Edmondson,"In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it, filter it and conduct simple calculations like sum, average and median.
",Pinnacle Peak 2,http://ire.org/events-and-training/event/2703/3328/
,Exhibitors & Recruiters (Thursday),2017-06-22,9:00 a.m.,2017-06-22,5:00 p.m.,TBA,"Stop by and visit with exhibitors and recruiters during the 2017 IRE Conference.  A list of those attending is here.
",Grand Canyon Foyer,http://ire.org/events-and-training/event/2703/3430/
,Best of broadcast  (Sponsored by National Association of Broadcasters),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,"Lee Zurik, Jon Turnipseed","Watch and listen as the photographers, editors, reporters and producers behind this year's IRE Award winners and finalists explain how they did it, what they would do differently and what they were really thinking when things got hard.
",Grand Sonoran G,http://ire.org/events-and-training/event/2703/3296/
,Show & Tell *Thursday #1 (Sponsored by Napoli Management Group),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,Patti Dennis,"**Moderated by Patti Dennis, TEGNA Inc.
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 15 minutes.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday.
",Grand Sonoran B-D,http://ire.org/events-and-training/event/2703/3377/
,Prisons and jails (Sponsored by Criminal Justice Journalists),2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,"Amy Brittain, Ted Gest, Magnus Lofstrom, Paige St. John","**Moderated by Ted Gest, Criminal Justice Journalists
An expert and journalists who cover prison issues will tell you how to evaluate criminal justice ""reforms."" How can you obtain usable data and find information on a range of cases to interest readers and viewers? And how can you tell your audience whether a fix to the system is effective and protecting the public? We'll talk about examples across the country, from California's answer to prison crowding to Washington, D.C.'s ""second chance"" law for youth.
",Grand Canyon 4-5,http://ire.org/events-and-training/event/2703/3274/
,Exhibitor/Recruiter Hours (Thursday),2017-06-22,9:00 a.m.,2017-06-22,5:00 p.m.,TBA,,Foyer - 1st floor meeting space,http://ire.org/events-and-training/event/2703/3374/
,Investigating the tech industry,2017-06-22,9:00 a.m.,2017-06-22,10:00 a.m.,"Marcus Baram, Christina Farr, Yunan Zhang","**Moderated by Marcus Baram, Fast Company
The giant companies at the heart of the digital economy - Apple, Facebook, Amazon, Google - play an increasingly outsized role in our life and society, spurring an increase in coverage of the sector. But reporting on Silicon Valley can be uniquely challenging, from dealing with a secretive corporate culture to understanding complex technological developments. This panel will address these issues, with reporters discussing how they have managed to develop sources and break important stories.
",Grand Canyon 8,http://ire.org/events-and-training/event/2703/3198/
